                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.207,                 1.0107,                 1.4709,                0.87545,                 0.8003,                0.83924,                 0.4348,                 1.4678,                0.95493,                 1.7628,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1862,                0.98305,                 1.4601,                0.80413,                0.82673,                0.80786,                0.40582,                 1.5527,                0.87055,                 1.8026,               0.001307,               0.001307,               0.001307
                     37,                  1.195,                0.98346,                 1.4688,                0.77846,                0.85239,                0.83631,                0.42208,                 1.4986,                0.91703,                 1.8211,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.165,                0.97414,                  1.442,                0.86319,                0.80693,                0.85499,                0.41566,                  1.511,                0.89155,                 1.8123,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1667,                0.98577,                 1.4453,                0.83047,                0.82673,                0.84941,                0.43418,                 1.5007,                0.83422,                 1.7809,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1773,                0.94298,                 1.4354,                0.85536,                0.80693,                0.82187,                 0.4318,                 1.4281,                 0.8969,                 1.7369,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1424,                0.92529,                 1.4324,                0.85583,                0.80198,                0.85198,                0.43516,                 1.4761,                0.88859,                 1.7619,               0.001208,               0.001208,               0.001208
                     42,                 1.1584,                0.92774,                 1.4416,                0.76822,                 0.7712,                0.73399,                0.28155,                 2.0247,                0.98279,                 2.2974,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1552,                0.93342,                 1.4356,                0.79716,                0.83657,                0.83725,                0.43504,                 1.4856,                0.88324,                 1.7634,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1419,                0.90993,                 1.4204,                 0.8464,                0.84567,                  0.847,                0.43736,                 1.4849,                 0.8837,                 1.7673,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1431,                0.92523,                  1.427,                0.85548,                0.79208,                0.84358,                0.45187,                 1.4495,                0.89919,                 1.7536,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1363,                0.91856,                 1.4254,                0.79393,                0.82013,                0.79565,                0.34952,                 1.7244,                0.93404,                 2.0009,               0.001109,               0.001109,               0.001109
                     47,                 1.1204,                0.90208,                 1.4156,                0.78587,                0.81759,                0.80442,                0.39573,                 1.6198,                  1.016,                 1.8712,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1203,                0.93064,                  1.421,                0.80718,                0.82673,                0.80295,                0.41371,                 1.5309,                0.88748,                 1.7977,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.124,                0.88645,                 1.4094,                0.81482,                0.80595,                0.80203,                0.31517,                 1.9969,                 1.0034,                 2.2717,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1377,                0.91965,                 1.4167,                0.79706,                0.81683,                0.82188,                0.37385,                 1.7545,                0.91398,                 2.0175,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1132,                0.90768,                 1.4108,                0.83851,                0.80693,                0.84222,                0.44409,                 1.4673,                0.80408,                 1.7391,                0.00101,                0.00101,                0.00101
                     52,                 1.0968,                0.87967,                 1.3923,                0.81849,                0.77723,                 0.7701,                0.38436,                 1.6187,                0.87751,                 1.8717,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1172,                0.90236,                 1.4056,                0.88097,                0.79703,                0.88287,                0.47604,                 1.4064,                0.78623,                 1.6916,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0973,                0.88676,                 1.3902,                0.85314,                0.80198,                0.86661,                0.41089,                 1.5978,                0.89586,                 1.8748,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0899,                0.87537,                 1.3767,                0.86499,                0.82464,                0.85174,                0.44434,                 1.4469,                0.86477,                 1.7261,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0854,                0.85542,                 1.3893,                0.87944,                0.83057,                0.85467,                0.45127,                 1.4451,                0.85712,                 1.7084,               0.000911,               0.000911,               0.000911
                     57,                 1.0925,                0.86339,                 1.3844,                  0.864,                 0.8492,                0.86449,                0.45306,                 1.5055,                0.83427,                 1.7859,              0.0008912,              0.0008912,              0.0008912
